,pclass,survived,age,sibsp,parch,fare,sex_male,embarked_Q,embarked_S
0,1.0,1.0,-0.03900548789716409,-0.47908676070718687,-0.444999501816175,3.4425841256384593,0,0,1
1,1.0,1.0,-2.215952172928478,0.481287771858981,1.8665256881734007,2.286638695933064,1,0,1
2,1.0,0.0,-2.131977485342104,0.481287771858981,1.8665256881734007,2.286638695933064,0,0,1
3,1.0,0.0,0.03851199348968552,0.481287771858981,1.8665256881734007,2.286638695933064,1,0,1
4,1.0,0.0,-0.34907541344456255,0.481287771858981,1.8665256881734007,2.286638695933064,0,0,1
5,1.0,1.0,1.4338266584529786,-0.47908676070718687,-0.444999501816175,-0.1301403751633087,1,0,1
6,1.0,1.0,2.5965888792557226,0.481287771858981,-0.444999501816175,0.8637996530018405,0,0,1
7,1.0,0.0,0.7361693259713321,-0.47908676070718687,-0.444999501816175,-0.6434642498641783,1,0,1
8,1.0,1.0,1.8214140653872266,1.4416623044251486,-0.444999501816175,0.35184657539009684,0,0,1
9,1.0,0.0,3.2167287303505194,-0.47908676070718687,-0.444999501816175,0.3136614660667741,1,0,0
10,1.0,0.0,1.356309177066129,0.481287771858981,-0.444999501816175,3.7555570153454396,1,0,0
11,1.0,1.0,-0.8916977831525099,0.481287771858981,-0.444999501816175,3.7555570153454396,0,0,0
12,1.0,1.0,-0.42659289483141216,-0.47908676070718687,-0.444999501816175,0.6963980671516508,0,0,0
13,1.0,1.0,-0.27155793205771295,-0.47908676070718687,-0.444999501816175,0.8810399881834136,0,0,1
14,1.0,1.0,3.914386062832166,-0.47908676070718687,-0.444999501816175,-0.06343727280104884,1,0,1
15,1.0,0.0,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,-0.14222427051879058,1,0,1
16,1.0,0.0,-0.42659289483141216,-0.47908676070718687,0.7107630931786129,4.14216046294407,1,0,0
17,1.0,1.0,1.588861621226678,-0.47908676070718687,0.7107630931786129,4.14216046294407,0,0,0
18,1.0,1.0,0.19354695626338475,-0.47908676070718687,-0.444999501816175,0.831577221002727,0,0,0
19,1.0,0.0,0.5036168818107832,-0.47908676070718687,-0.444999501816175,0.8112762768055172,1,0,0
20,1.0,1.0,0.5811343631976328,0.481287771858981,0.7107630931786129,0.3726308754015257,1,0,1
21,1.0,1.0,1.356309177066129,0.481287771858981,0.7107630931786129,0.3726308754015257,0,0,1
22,1.0,1.0,-0.27155793205771295,-0.47908676070718687,-0.444999501816175,-0.06343727280104884,1,0,0
23,1.0,1.0,0.9687217701318809,-0.47908676070718687,-0.444999501816175,3.7555570153454396,0,0,0
24,1.0,1.0,-0.03900548789716409,-0.47908676070718687,-0.444999501816175,3.644466381851795,0,0,1
25,1.0,0.0,-0.34907541344456255,-0.47908676070718687,-0.444999501816175,-0.14077420307613278,1,0,0
